cohort,Average_SIP_Amount,Total_Invested,Top_Fund_Preference
2024,10996.885825361911,3491125187,UTI Nifty 50 Index Fund - Regular - Growth
2025,13505.209580838324,30455243,SBI Small Cap Fund - Direct Plan - Growth
